model,Scenario,Region,Variable,Unit,1,2000,2004,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100
EMELIE-ESY,EU10,EU27,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU27,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU27,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,France,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,France,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,France,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,France,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,France,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Germany,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Germany,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Germany,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Germany,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Germany,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Italy,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Italy,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Italy,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Italy,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Italy,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Netherlands,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Netherlands,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Netherlands,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Netherlands,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Netherlands,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Norway,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Norway,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Norway,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Norway,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Norway,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Poland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Poland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Poland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Poland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Poland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU12,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU12,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU12,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU12,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU12,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU15,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU15,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU15,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU15,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,ROEU15,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Switzerland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Switzerland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Switzerland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Switzerland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Switzerland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Austria,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Austria,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Austria,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Austria,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Austria,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Belgium,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Belgium,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Belgium,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Belgium,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Belgium,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Czech Republic,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Czech Republic,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Czech Republic,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Czech Republic,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Czech Republic,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU12,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU12,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU12,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU12,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU12,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU15,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU15,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU15,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU15,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU15,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU27,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU27,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU27,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU27,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,EU27,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,France,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,France,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,France,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,France,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,France,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Germany,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Germany,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Germany,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Germany,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Germany,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Italy,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Italy,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Italy,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Italy,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Italy,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Netherlands,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Netherlands,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Netherlands,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Netherlands,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Netherlands,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Norway,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Norway,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Norway,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Norway,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Norway,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Poland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Poland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Poland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Poland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,Poland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,ROEU12,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,ROEU12,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,ROEU12,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,ROEU12,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,ROEU12,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,ROEU15,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU2,ROEU15,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
